time_s,position_cm,velocity_cm_s,command_angle_deg,motor_angle_deg,acceleration_mps2,step,waypoint
0.0050,0.00000,0.00000,7.4677,0.5000,0.000000,leg1_drive,0
0.0100,0.00001,0.00229,7.4677,1.0000,0.004588,leg1_drive,0
0.0150,0.00019,0.03515,7.4677,1.5000,0.065711,leg1_drive,0
0.0200,0.00068,0.09832,7.4677,1.9973,0.126332,leg1_drive,0
0.0250,0.00162,0.18917,7.4677,2.4532,0.181711,leg1_drive,0
0.0300,0.00315,0.30531,7.4677,2.8710,0.232283,leg1_drive,0
0.0350,0.00537,0.44454,7.4677,3.2541,0.278450,leg1_drive,0
0.0400,0.00840,0.60483,7.4677,3.6052,0.320579,leg1_drive,0
0.0450,0.01232,0.78433,7.4677,3.9271,0.359006,leg1_drive,0
0.0500,0.01723,0.98135,7.4677,4.2222,0.394042,leg1_drive,0
0.0550,0.02320,1.19434,7.4677,4.4926,0.425971,leg1_drive,0
0.0600,0.03031,1.42186,7.4677,4.7405,0.455052,leg1_drive,0
0.0650,0.03862,1.66262,7.4677,4.9678,0.481525,leg1_drive,0
0.0700,0.04820,1.91543,7.4677,5.1761,0.505607,leg1_drive,0
0.0750,0.05909,2.17918,7.4677,5.3671,0.527501,leg1_drive,0
0.0800,0.07136,2.45287,7.4677,5.5421,0.547388,leg1_drive,0
0.0850,0.08504,2.73559,7.4677,5.7026,0.565438,leg1_drive,0
0.0900,0.10017,3.02649,7.4677,5.8497,0.581805,leg1_drive,0
0.0950,0.11679,3.32481,7.4677,5.9845,0.596630,leg1_drive,0
0.1000,0.13494,3.62983,7.4677,6.1081,0.610042,leg1_drive,0
0.1050,0.15465,3.94091,7.4677,6.2214,0.622161,leg1_drive,0
0.1100,0.17593,4.25746,7.4677,6.3253,0.633094,leg1_drive,0
0.1150,0.19883,4.57893,7.4677,6.4205,0.642942,leg1_drive,0
0.1200,0.22335,4.90483,7.4677,6.5077,0.651795,leg1_drive,0
0.1250,0.24953,5.23470,7.4677,6.5877,0.659738,leg1_drive,0
0.1300,0.27737,5.56812,7.4677,6.6611,0.666846,leg1_drive,0
0.1350,0.30689,5.90471,7.4677,6.7283,0.673190,leg1_drive,0
0.1400,0.33811,6.24413,7.4677,6.7899,0.678834,leg1_drive,0
0.1450,0.37104,6.58605,7.4677,6.8464,0.683838,leg1_drive,0
0.1500,0.40569,6.93018,7.4677,6.8982,0.688254,leg1_drive,0
0.1550,0.44207,7.27624,7.4677,6.9456,0.692133,leg1_drive,0
0.1600,0.48019,7.62400,7.4677,6.9891,0.695520,leg1_drive,0
0.1650,0.52006,7.97323,7.4677,7.0290,0.698457,leg1_drive,0
0.1700,0.56168,8.32372,7.4677,7.0656,0.700981,leg1_drive,0
0.1750,0.60505,8.67529,7.4677,7.0991,0.703127,leg1_drive,0
0.1800,0.65019,9.02775,7.4677,7.1298,0.704928,leg1_drive,0
0.1850,0.69710,9.38096,7.4677,7.1580,0.706412,leg1_drive,0
0.1900,0.74577,9.73476,7.4677,7.1838,0.707607,leg1_drive,0
0.1950,0.79622,10.08903,7.4677,7.2074,0.708537,leg1_drive,0
0.2000,0.84843,10.44364,7.4677,7.2291,0.709225,leg1_drive,0
0.2050,0.90243,10.79849,7.4677,7.2490,0.709691,leg1_drive,0
0.2100,0.95819,11.15346,7.4677,7.2672,0.709954,leg1_drive,0
0.2150,1.01574,11.50848,7.4677,7.2839,0.710032,leg1_drive,0
0.2200,1.07505,11.86345,7.4677,7.2992,0.709941,leg1_drive,0
0.2250,1.13615,12.21830,7.4677,7.3133,0.709694,leg1_drive,0
